"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"BAR: 12' White Tufted ","White Acrylic Bar Top","1","","ACRYLIC","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"BAR: 12' White Tufted ","40""W Shelved Back Bar - Glass","3","","BARS / BACK BARS","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"BAR: 12' White Tufted ","6' Bar Frame ","2","","BARS / BACK BARS","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"BAR: 12' White Tufted ","Tufted Bar Front - White","2","","FABRIC","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"BAR: 12' White Tufted ","Tufted Bar Side - White","2","","FABRIC","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Wood Folding Table - 6'x30""","3","","TABLES WOOD","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Wood Table, 8'x30"" ","1","","TABLES WOOD","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Cylinder Poly Base, 30""H - Wheels","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Glass Table Top, 36""R","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Scuba Poly Cover - Metallic Gold 30""H","3","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Glass Table Top, 5'x30""","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Cylinder Poly Base, 30""H","2","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Cylinder Poly base, 42""H","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","White Scuba Poly Cover, 21""R x 42""H  ","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"Buffet","Glass Table Top, 21""R","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"DRAPE","Drape Room: White","1","","TASK ITEM","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"GOH","Pink Velvet Tufted Loveseat","1","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"HALLWAY","40""W Shelved Back Bar Frame - White","2","","","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"KIDS BAR: 6' Pink Marble","White Acrylic Bar Side ","2","","ACRYLIC","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"KIDS BAR: 6' Pink Marble","White Acrylic Bar Top","1","","ACRYLIC","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"KIDS BAR: 6' Pink Marble","6' Bar Frame ","1","","BARS / BACK BARS","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
"KIDS BAR: 6' Pink Marble","NEW Pink Marble Bar Front","1","","TASK ITEM","Chelsea's Baby Shower (CHA) - 4/4/26","PBG",""
