"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"AUDIO","JBL Systems - MOVE","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"BAR: 12' Purple Velour","Black Acrylic Bar Top 6' x 24""","2","","ACRYLIC","Mindful 2025 (CHA) - 12/13/25","PBG",""
"BAR: 12' Purple Velour","40""W Shelved Back Bar - Black","4","","BARS / BACK BARS","Mindful 2025 (CHA) - 12/13/25","PBG",""
"BAR: 12' Purple Velour","6' Bar Frame ","2","","BARS / BACK BARS","Mindful 2025 (CHA) - 12/13/25","PBG",""
"BAR: 12' Purple Velour","Bar: Speed Rack ","2","","BARS / BACK BARS","Mindful 2025 (CHA) - 12/13/25","PBG",""
"BAR: 12' Purple Velour","Velvet Tufted Bar Front Panel - Purple","2","","FABRIC","Mindful 2025 (CHA) - 12/13/25","PBG",""
"BAR: 12' Purple Velour","Velvet Tufted Bar Side Panel - Purple","2","","FABRIC","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet","Wood Folding Table - 6'x30""","4","(2) 12'","TABLES WOOD","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet","Wood Table, 8'x30"" ","1","Italian","TABLES WOOD","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet","90"" x 156"" Tablecloth - Black","6","","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet: Sushi","White Scuba Poly Cover, 21""R x 30""H  ","4","","FABRIC","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet: Sushi","Glass Table Top, 5'x30""","2","","GLASS","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet: Sushi","LEDecor 6SW LIGHT","4","","LIGHTING ","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet: Sushi","Cylinder Poly Base, 30""H","4","","POLY","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Buffet: Sushi","Wood Folding Table 6' x 18""","2","","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"CHAIRS","Gold Chiavari Chairs - RENT!!!!","140","PBS Rent","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"CHAIRS","Purple Cushion Cover","140","A1 Rent","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"Decor","Suspended - 8' Masquerade Mask ","1","NEW","PURCHASE","Mindful 2025 (CHA) - 12/13/25","PBG",""
"DRAPE","Drape Main Room: Black","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"DRAPE","Purple Velour Drape Accents - SWAG","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"ENTRANCE","Red Carpet","1","","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE","Gold & Purple Shimmer Backdrop","1","8'x8'","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE","Clear Acrylic Podium","1","","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE","Gold Geometric Bookcase","2","","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE: 8' x 12' x 24""H","Stage Side: 24"" x 48"" Black Acrylic","7","","ACRYLIC","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE: 8' x 12' x 24""H","Stage Top: ½"" Clear Acrylic","8","","FLOORING & CARPETING","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE: 8' x 12' x 24""H","Stage Top: ¼"" White Acrylic","8","","FLOORING & CARPETING","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE: 8' x 12' x 24""H","Frame - Biljax Stage: 4'x4'","6","","FRAMES","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE: 8' x 12' x 24""H","1M LED Uplights ","12","","LIGHTING ","Mindful 2025 (CHA) - 12/13/25","PBG",""
"STAGE: 8' x 12' x 24""H","Biljax Stage: 24"" Legs","12","","STAGING","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TABLES","Wood Table, 60""R ","13","","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TABLES","TASK","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TABLES","Black with Gold Foil Geometric Pattern Tablecloth","13","NEW","","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TASK","Clean Bathroom","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TASK","Clean Entrance / Hallway ","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TASK","Clean Floors","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TASK","Clean Guest Room","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TASK","Clean Hallway Mirrors","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TASK","Clean Kitchen","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"TECH","Tech Station Moves","1","","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
"VIDEO","VIDEO WALLS - MOVE","1","See Floor Plan","TASK ITEM","Mindful 2025 (CHA) - 12/13/25","PBG",""
