"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"BAR","White Acrylic Round Bar","1","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"BAR","20""W Back Bar Frame - White","2","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"BAR","20""W Back Bar - Glass","8","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Air Hockey","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Air Hockey Game Accessories ","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Basketball: Balls","12","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Basketball: Double Shot ","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Billards: Game Accessories ","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Billiards Table ","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Ping Pong Accessories","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Ping Pong Acrylic Top, 4'x8'","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Square Poly Base, 30""H","2","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","White Scuba Cover 30"" x 30""","2","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Casino Table Blackjack","1","","","Muscot Catering (PBG) - 2/26/26","PBG",""
"GAMES","Casino Table Accessories","1","","GAMES","Muscot Catering (PBG) - 2/26/26","PBG",""
"SEATING","Chair Cushion w/ Black Cover","115","","SEATING","Muscot Catering (PBG) - 2/26/26","PBG",""
