"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"Poly Tables ","Scuba Poly Cover - Metallic Gold 42"" H","12","TALL 42""H ","FABRIC","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Glass Table Top, 21""R","4","","GLASS","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Glass Table Top, 36""R","14","","GLASS","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Glass Table Top, 4' SQ","4","or 5'x5'","GLASS","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Glass Table Top, 5'x30""","2","Total for sushi 4","GLASS","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Cylinder Poly Base, 30""H","8","11","POLY","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Cylinder Poly base, 42""H","6","11","POLY","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Black & White Demask Scuba Poly Cover, 21""R x 30""H  ","5","for 4'x4 Tables","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"Poly Tables ","Black Scuba Poly Cover","11","Low Tables","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Scaffolding Tower for Performer","1","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Telescoping Upright: 7'-12'","4","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Crossbar: 7'-12'","2","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Base Plates: 18"" x 18""","4","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Base Insert / Pin","4","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","White Spandex Pole cover","4","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Blue Velvet Drape","","Cover Scaffolding & ladder","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Gold Shimmer / Sequin Wall Backdrop","","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"STAGE: Performer","Small Ladder","1","","","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","Cat6e Cables - (LED WALL)","","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","HDMI Cables - Assorted","1","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","LED Video Wall Controller Unit","2","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","LED Video Wall Panels, (Double) 128 x 256","20","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","LED Video Wall Panels, (Single) 128 x 128","20","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","LED Wall Butterfly Connector ","54","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","powerCON to powerCON: Power In","","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","powerCON to powerCON: Power out","","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
"VIDEO WALL","Video Tech Kit & Controller","1","","VIDEO","SSLI Gala 2026 (SRC) - 3/25/26","PBG",""
