"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"Alisha","Audio Mixer: Allen & Heath ZED-14 Channel","1","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Alisha","Wireless Microphone: SHURE","1","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Alisha","LG TV Remote","1","","","Howard W (JDJ) - 3/1/26","PBG",""
"Alisha","HDMI splitter ","1","","VIDEO","Howard W (JDJ) - 3/1/26","PBG",""
"Alisha","Video Tech Kit & Controller","1","","VIDEO","Howard W (JDJ) - 3/1/26","PBG",""
"Alisha","Lighting Controller & Tech Kit","1","","LIGHTING ","Howard W (JDJ) - 3/1/26","PBG",""
"Alisha","Wireless DMX Receiver","4","","LIGHTING ","Howard W (JDJ) - 3/1/26","PBG",""
"Audio","DJ Front Board Spandex Black","1","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Audio","QSC K10 Self Powered Speaker","1","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Audio","RCF Evox 12 (Subwoofer)","2","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Audio","RCF Evox 12 - Tweaker ","2","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Audio","RCF Pole","2","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Audio","XLR Cables","10","","AUDIO","Howard W (JDJ) - 3/1/26","PBG",""
"Dance Floor:16'x16'","White Dance Floor 4' x 4'","16","","","Howard W (JDJ) - 3/1/26","PBG",""
"Dance Floor:16'x16'","4' Male & Female Dance Floor Edges","16","","","Howard W (JDJ) - 3/1/26","PBG",""
"LIGHTING","DMX Cables","1","","CABLES","Howard W (JDJ) - 3/1/26","PBG",""
"LIGHTING","LEDecor 6SW LIGHT","10","","LIGHTING ","Howard W (JDJ) - 3/1/26","PBG",""
"LIGHTING","Wash Moving Head","4","","LIGHTING ","Howard W (JDJ) - 3/1/26","PBG",""
"LIGHTING","Moving Head Spot","2","","LIGHTING ","Howard W (JDJ) - 3/1/26","PBG",""
"LIGHTING","Roman Column w/ Sandbags","2","or 54""H Poles with BLACK COVERS","","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","Stage Side: 16"" x 24"" White Acrylic","4","","ACRYLIC","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","Stage Top: ½"" Clear Acrylic","2","","FLOORING & CARPETING","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","Stage Top: ¼"" White Acrylic","2","","FLOORING & CARPETING","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","1M LED Uplights ","4","","LIGHTING ","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","Frame - Biljax Stage: 4'x4'","2","","FRAMES","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","Biljax Stage: 16"" Leg","6","","STAGING","Howard W (JDJ) - 3/1/26","PBG",""
"STAGING","Biljax Stage Rubber Feet","6","","STAGING","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","Assorted Zip Ties","1","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","Tools: Knife, Wire Cutters, Scissors, Garbge Bags","1","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","White Gaff Tape","1","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","Black Gaff Tape","1","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","Double Sided Carpet Tape","1","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","Screw Driver / Drill / Staple Gun ","1","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
"TOOLS","Folding Table - 4'","1","","","Howard W (JDJ) - 3/1/26","PBG",""
"TRUSS","Truss Bolts / Couplers","8","","TRUSSING / HARDWARE","Howard W (JDJ) - 3/1/26","PBG",""
"TRUSS","Truss Plate: 24""x24""","2","","TRUSSING / HARDWARE","Howard W (JDJ) - 3/1/26","PBG",""
"TRUSS","White Spandex Truss Cover","2","","TRUSSING / HARDWARE","Howard W (JDJ) - 3/1/26","PBG",""
"TRUSS","Truss Topper ","2","","TRUSSING / HARDWARE","Howard W (JDJ) - 3/1/26","PBG",""
"TRUSS","Ladder","1","","","Howard W (JDJ) - 3/1/26","PBG",""
"TRUSS","Truss: 7' Triangle ","2","","","Howard W (JDJ) - 3/1/26","PBG",""
"VIDEO","HDMI Cables - Assorted","6","","CABLES","Howard W (JDJ) - 3/1/26","PBG",""
"VIDEO","VIZIO Razor 75"" TV w/ Mount","2","","VIDEO","Howard W (JDJ) - 3/1/26","PBG",""
"VIDEO","White Wood TV Frame: 80"" ","2","","VIDEO","Howard W (JDJ) - 3/1/26","PBG",""
"VIDEO","Sandbags","2","","TOOLS","Howard W (JDJ) - 3/1/26","PBG",""
