"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"BUFFET","6' / 8' Wood Folding Table","4","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"BUFFET","(4) Buffets: 8' or 12' Tables","4","","TASK ITEM","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"BUFFET","90"" x 132"" Tablecloth - Black","8","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DANCE FLOOR","16'x16' White Dance Floor ","1","","TASK ITEM","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DRAPE: 20'","Telescoping Upright: 7'-12'","","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DRAPE: 20'","Crossbar: 7'-12'","","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DRAPE: 20'","Base Plates: 18"" x 18""","","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DRAPE: 20'","Base Insert / Pin","","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DRAPE: 20'","Binder Clips","","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"DRAPE: 20'","Drape: Purple Velour","8","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"LIGHTING","LEDecor 6SW LIGHT","20","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"SEATING","Clear Chiavari Chairs","28","","SEATING","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"SEATING","Chair Cushion w/ White Cover","28","","SEATING","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","Stage Side: 16"" x 48"" Black Acrylic","7","","ACRYLIC","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","Stage Top: ½"" Clear Acrylic","6","","FLOORING & CARPETING","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","Stage Top: ¼"" White Acrylic","6","","FLOORING & CARPETING","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","Frame - Biljax Stage: 4'x4'","6","","FRAMES","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","1M LED Uplights ","12","","LIGHTING ","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","Biljax Stage: 16"" Leg","12","","STAGING","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"STAGE: 8'x12'x16""H LED","Biljax Stage Rubber Feet","12","","STAGING","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"TABLES","Black Scuba Poly Cover 42""H","6","","FABRIC","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"TABLES","Glass Table Top, 36""R","6","","GLASS","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"TABLES","Cylinder Poly base, 42""H","6","","POLY","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"TABLES","40""H Black Metal Table","3","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"TABLES","Black with Gold Foil Geometric Pattern Tablecloth","4","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
"TABLES","Wood Table, 60""R ","4","","","YIP Dinner Gala (EM) - 3/22/2026","PBG",""
