"Element (c)","Name","Requested QTY","Item Note","CATEGORY","Event Name / Client","Department","PACKLIST NOTES"
"ALISHA","Audio Mixer: Allen & Heath ZED-14 Channel","1","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA"," CAT6 XLR Cable Breakout","1","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA","Wireless Microphone: SHURE","1","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA","Wireless Microphone System: Handheld/ Bodypack","1","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA","HDMI Extender Splitter","1","","VIDEO","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA","Video Tech Kit & Controller","1","","VIDEO","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA","Lighting Controller & Tech Kit","1","","LIGHTING ","Herald LI (SRC) - 3/13/26","PBG",""
"ALISHA","Microphone Stand w/ Clip for Podium","1","","","Herald LI (SRC) - 3/13/26","PBG",""
"Audio","DJ Front Board Spandex White","1","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"Audio","RCF Evox 12 (Subwoofer)","2","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"Audio","RCF Evox 12 - Tweaker ","2","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"Audio","RCF Pole","2","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"CABLES","Cat6e Cable - 100'","3","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"CABLES","XLR Cables","10","","AUDIO","Herald LI (SRC) - 3/13/26","PBG",""
"CABLES","HDMI Cables - Assorted","3","","CABLES","Herald LI (SRC) - 3/13/26","PBG",""
"CABLES","Extension Cables - Assorted ","","","","Herald LI (SRC) - 3/13/26","PBG",""
"CABLES","Power Strips ","","","","Herald LI (SRC) - 3/13/26","PBG",""
"RENTALS","Clear Acrylic Podium","1","","","Herald LI (SRC) - 3/13/26","PBG",""
"TASK","Please Set Up 32 Tables w/ Chairs as in Floor Plan","1","Use EMBEJC Tables & Chairs. No Linens","TASK ITEM","Herald LI (SRC) - 3/13/26","PBG",""
"TASK","Please Set Up (50) Chairs as in Floor Plan","1","Use EMBEJC Chairs","TASK ITEM","Herald LI (SRC) - 3/13/26","PBG",""
"TASK","Set Up (2) 6' Tables in Backdoor Lobby w/ chairs","1","","TASK ITEM","Herald LI (SRC) - 3/13/26","PBG",""
"TASK","Set Up Audio & Video System","1","","TASK ITEM","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","Sandbags","","","TOOLS","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","Truss: 10'","2","","TRUSSING / HARDWARE","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","Truss Bolts / Couplers","","","TRUSSING / HARDWARE","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","Truss Plate: 24""x24""","2","","TRUSSING / HARDWARE","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","White Spandex Truss Cover","2","","TRUSSING / HARDWARE","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","VIZIO Razor 75"" TV w/ Mount","2","","VIDEO","Herald LI (SRC) - 3/13/26","PBG",""
"VIDEO","White Wood TV Frame: 80"" ","2","","VIDEO","Herald LI (SRC) - 3/13/26","PBG",""
